25,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,Monica Arac de Nyeko,9.78E+12,1904456731,$16.18 ,Paperback,New Internationalist,8-Jul,8,"Short Story Anthologies, African Fiction, African Literature Anthologies",,214
26,Up the Down Escalator,Linda Rode,9.78E+12,795701063,$10.95 ,Paperback,NB Publishers,10-Mar,,"Literary Collections, African",,
27,Basali!: Stories by and about Women in Lesotho,K. Limakatso Kendall,9.78E+12,869809180,$24.44 ,Paperback,University of Natal Press,Feb-95,,"Anthologies, Southern African History",,136
28,How God Fix Jonah,Lorenz Graham,9.78E+12,1563976986,$16.15 ,Hardcover,Boyds Mills Press,Oct-00,"1ST, REVISED","Bible - Stories, African Literature Anthologies",,160
29,Glass Jars among Trees,Arja Salafranca,9.78E+12,1919931236,$44.59 ,Paperback,Jacana Media,5-Apr,,African Literature Anthologies,,188
30,Running Towards Us: New Writing from South Africa,Isabel Balseiro,9.78E+12,325002118,$33.63 ,Paperback,Heinemann,May-00,1st Edition,African Literature Anthologies,,216
31,Of Suffocated Hearts And Tortured Souls,Valerie Key Orlando,9.78E+12,739105639,$27.95 ,Paperback,Lexington Books,2-Dec,,"Social Sciences, Women's Studies",,
32,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,9.78E+12,814781446,,Paperback,New York University Press,4-Feb,New Edition,"Literary Criticism, American",,
33,Among the Blacks,Ron Padgett,9.78E+12,939691027,$14.00 ,Paperback,Avenue B,Oct-88,,African Literature Anthologies,,64
34,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,9.78E+12,044657922X,$1.99 ,Hardcover,Grand Central Publishing,10-Sep,,Humor,,244
35,The Best American Nonrequired Reading 2010,Dave Eggers,9.78E+12,547241631,$11.17 ,Paperback,Houghton Mifflin Harcourt,10-Oct,,"American Literature Anthologies, Fiction Subjects",,484
36,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,9.78E+12,1607886154,$24.98 ,Compact Disc,Hachette Audio,10-Oct,,Literary Collections,,
37,100 Best-Loved Poems,Philip Smith,9.78E+12,486285537,$1.80 ,Paperback,Dover Publications,May-95,Special Value,Poetry Anthologies,,96
38,"The Norton Anthology of American Literature, Shorter Seventh Edition, One-Volume Paperback",Wayne Franklin,9.78E+12,393930572,$63.03 ,Paperback,"Norton, W. W. & Company, Inc.",7-Jul,7th Edition,American Literature Anthologies,,3008
39,The Best American Poetry 2009,David Wagoner,9.78E+12,161552164X,,Paperback,Simon & Schuster Adult Publishing Group,9-Sep,Bargain,,,
40,The Oxford Book of American Short Stories,Joyce Carol Oates,9.78E+12,195092627,$19.95 ,Paperback,"Oxford University Press, USA",Sep-94,~,"Biographies &amp; Autobiographies, General",,
41,The Best American Essays 2009,Mary Oliver,9.78E+12,618982728,$13.56 ,Paperback,Houghton Mifflin Harcourt,9-Oct,,"American Essays, American Literature Anthologies",,224
42,"The Norton Anthology of American Literature, Package 2: Volumes C, D, and E",Jerome Klinkowitz,9.78E+12,393929949,$20.00 ,Paperback,"Norton, W. W. & Company, Inc.",7-Apr,7th Edition,American Literature Anthologies,,2870
43,Early African American Classics (Barnes &amp; Noble Classics Series),Barnes &amp; Noble,9.78E+12,1400500281,$24.95 ,Paperback,Barnes & Noble,8-Oct,Special Value,"Slavery - Social Sciences, Peoples & Cultures - American Anthologies, American Fiction & Literature Classics, Slave Narratives & Biographies",,
44,"African-American Poetry: An Anthology, 1773-1930",Joan R. Sherman,9.78E+12,486296040,$1.80 ,Paperback,Dover Publications,Jul-97,Special Value,"Poetry Anthologies, American Poetry, African Americans - Fiction & Literature, American Literature Anthologies",,96
45,Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,Wally Lamb,9.78E+12,006059537X,$10.59 ,Paperback,HarperCollins Publishers,4-Feb,Reprint,"American Literature Anthologies, Penology & Correctional Studies, True Crime",,368
46,"The Norton Anthology of Poetry, Shorter 5th Edition",Margaret Ferguson,9.78E+12,393979210,$58.69 ,Paperback,"Norton, W. W. & Company, Inc.",4-Dec,5th Edition,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",,1424
47,The Best American Poetry 2010,Amy Gerstler,9.78E+12,1439181454,$13.87 ,Paperback,Simon & Schuster Adult Publishing Group,10-Sep,,"Poetry Anthologies, American Poetry, American Literature Anthologies",,229
48,"Classic Slave Narratives: The Life of Olaudah Equiano, The History of Mary Prince, Narrative of the Life of Frederick Douglass, Incidents in the Life of a Slave Girl",Henry Louis Gates Jr.,9.78E+12,451528247,$1.99 ,Mass Market Paperback,Penguin Group (USA),2-Jan,Reissue,"Slavery - Social Sciences, Slave Narratives & Biographies, Historical Figures - Women's Biography, African American Women's Biography, African American Political & Historical Biography",,688
49,The Best American Nonrequired Reading 2009,Dave Eggers,9.78E+12,547241607,$14.39 ,Paperback,Houghton Mifflin Harcourt,9-Oct,,"Short Story Anthologies, American Literature Anthologies",,432
50,In Fact: The Best of Creative Nonfiction,Lee Gutkind,9.78E+12,393326659,$15.24 ,Paperback,"Norton, W. W. & Company, Inc.",4-Nov,,"Journalism - Collections & History, American Essays, Nonfiction Writing - General & Miscellaneous, American Literature Anthologies, Journalism - General & Miscellaneous",,480
51,The Best American Essays of the Century,Joyce Carol Oates,9.78E+12,618155872,$14.84 ,Paperback,Houghton Mifflin Harcourt,1-Oct,,"American Essays, American Literature Anthologies",,624
52,The Best Loved Poems of the American People,Hazel Felleman,9.78E+12,385000197,$17.92 ,Hardcover,Knopf Doubleday Publishing Group,Oct-36,Reissue,"Poetry Anthologies, American Poetry, Poetry - General & Miscellaneous, American Literature Anthologies",,670
53,The Norton Anthology of American Literature: Volume A: Beginnings to 1820,Wayne Franklin,9.78E+12,393927393,$37.77 ,Paperback,"Norton, W. W. & Company, Inc.",7-Apr,7th Edition,American Literature Anthologies,,972
54,The Norton Anthology of Poetry,Margaret Ferguson,9.78E+12,393979202,$66.30 ,Paperback,"Norton, W. W. & Company, Inc.",4-Dec,5th Edition,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",,2256
55,"The Norton Anthology of African American Literature, Vol. 2",Henry Louis Gates Jr.,9.78E+12,393977781,$72.82 ,Paperback,"Norton, W. W. & Company, Inc.",3-Dec,2nd Edition,Peoples & Cultures - American Anthologies,,2832
56,"Poems, Poets, Poetry: An Introduction and Anthology",Helen Vendler,9.78E+12,312463197,$1.99 ,Paperback,Bedford/St. Martin's,9-Oct,3rd Edition,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",,752
57,The Poets Laureate Anthology,Elizabeth Hun Schmidt,9.78E+12,393061817,$38.52 ,Hardcover,"Norton, W. W. & Company, Inc.",10-Oct,New Edition,"Poetry, American Literature Anthologies, Anthologies",,816
58,The Portable Beat Reader,Various,9.78E+12,142437530,$18.00 ,Paperback,Penguin Group (USA),3-Jul,Reissue,"Literary Collections, American",,
59,The Best American Short Plays 2008-2009,Barbara Parisi,9.78E+12,1557837600,$14.85 ,Paperback,Applause Theatre Book Publishers,10-Oct,,"Drama Anthologies, American Drama, American Literature Anthologies",,356
60,The Gift of Love,Lori Foster,9.78E+12,425234282,$14.43 ,Paperback,Penguin Group (USA),10-Jun,,"Short Story Anthologies, Family & Friendship - Fiction, American Literature Anthologies",,368
61,One Hundred and One Famous Poems (Barnes &amp; Noble Library of Essential Reading),Roy J. Cook,9.78E+12,1435114760,$8.95 ,Paperback,Barnes & Noble,9-Feb,,Literary Collections,,
62,The Vintage Book of Contemporary American Poetry,J. D. McClatchy,9.78E+12,1400030935,$13.65 ,Paperback,Knopf Doubleday Publishing Group,3-Apr,Revised,"Poetry Anthologies, American Poetry, American Literature Anthologies",,656
63,Literature: A Pocket Anthology,R. S. Gwynn,9.78E+12,205655106,$46.67 ,Paperback,Longman,9-Jan,4th Edition,Literary Collections,,
64,I'll Fly Away: Further Testimonies from the Women of York Prison,Wally Lamb,9.78E+12,61626392,$10.99 ,Paperback,HarperCollins Publishers,8-Oct,,"Penology & Correctional Studies - General & Miscellaneous, Prisons & Prison Life, American Literature Anthologies",,288
