125,Listening For God Reader Volume 3,Paula J. Carlson,9.78E+12,806639628,$13.99 ,Paperback,"Augsburg Fortress, Publishers",Feb-00,New Edition,"Faith, Literature Anthologies - General & Miscellaneous, General & Miscellaneous Christian Life, American Literature Anthologies",,160
126,Fierce Pajamas: An Anthology of Humor Writing from the New Yorker,David Remnick,9.78E+12,375761276,$16.24 ,Paperback,Random House Publishing Group,2-Oct,Reprint,Humor,,528
127,The Top 500 Poems,William Harmon,9.78E+12,023108028X,$27.96 ,Hardcover,Columbia University Press,Jan-92,,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",,1132
128,True Crime: An American Anthology,Harold Schechter,9.78E+12,1598530313,$40.00 ,Hardcover,Library of America,8-Sep,,"American Literature Anthologies, True Crime",,900
129,"I Am Not My Breast Cancer: Women Talk Openly about Love and Sex, Hair Loss and Weight Gain, Mothers and Daughters, and Being a Woman with Breast Cancer",Ruth Peltason,9.78E+12,61174076,$15.95 ,Paperback,HarperCollins Publishers,8-Sep,,"Health &amp; Fitness, Women's Health",,
130,African American Literature (Penguin Academics Series),Keith Gilyard,9.78E+12,321113411,$42.47 ,Paperback,Longman,4-Jan,1st Edition,Peoples & Cultures - American Anthologies,,1376
131,"Anthology of American Literature, Volume I",George McMichael,9.78E+12,205779395,$1.99 ,Paperback,Longman,10-Jul,10th Edition,American Literature Anthologies,,2256
132,"The Heath Anthology of American Literature: Modern Period (1910?1945), Volume D",Kirk Curnutt,9.78E+12,054720194X,$80.66 ,Paperback,Cengage Learning,9-Feb,6th Edition,American Literature Anthologies,,1138
133,Poems of New York,Elizabeth Schmidt,9.78E+12,375415041,$11.02 ,Hardcover,Knopf Doubleday Publishing Group,2-Aug,,"Poetry Anthologies, American Poetry, Poetry of Places, American Literature Anthologies",,256
134,American Dreams,Sapphire,9.78E+12,679767991,$13.68 ,Paperback,Knopf Doubleday Publishing Group,Jun-96,1st Vintage Books Edition,"Multicultural Aspects/Gay & Lesbian Communities, Peoples & Cultures - American Anthologies, Gay & Lesbian Literature Anthologies, Literature Anthologies - General & Miscellaneous",,192
135,"Black Theatre USA, V2: Plays by African Americans 1935-Today, Vol. 2",Ted Shine,9.78E+12,684823071,$19.27 ,Hardcover,Simon & Schuster Adult Publishing Group,Feb-96,Revised and Expanded Edition,"Peoples & Cultures - American Anthologies, Drama Anthologies, American Drama, Peoples & Cultures - Drama, American Literature Anthologies",,528
136,The Signet Classic Book of American Short Stories,Burton Raffel,9.78E+12,451529634,$7.75 ,Mass Market Paperback,Penguin Group (USA),4-Nov,Reissue,"Short Story Anthologies, American Literature Anthologies",,688
137,The American Transcendentalists: Essential Writings,Lawrence Buell,9.78E+12,081297509X,$11.75 ,Paperback,Random House Publishing Group,6-Jan,,American Literature Anthologies,,640
138,Finding Freedom: Writings from Death Row,Jarvis Jay Masters,9.78E+12,188184708X,$11.23 ,Paperback,Padma Publishing,Sep-97,,"Literary Criticism, American",,179
139,The Best American Short Stories 2004,Lorrie Moore,9.78E+12,618197354,$28.95 ,Paperback,Houghton Mifflin Harcourt,4-Oct,~,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",,498
140,New York Stories: The Best of the City Section of the New York Times,Constance Rosenblum,9.78E+12,814775721,$11.95 ,Paperback,New York University Press,5-May,1st Edition,"Americans - Regional Biography, Essays, American Literature Anthologies, United States Studies, General & Miscellaneous Literature Anthologies, Mapped Categories - Literature",,303
141,Black Voices: An Anthology of African-American Literature,Various,9.78E+12,451527828,$8.07 ,Mass Market Paperback,Penguin Group (USA),1-Apr,Reissue,Peoples & Cultures - American Anthologies,,720
142,Bordering Fires: The Vintage Book of Contemporary Mexican and Chicano/a Literature,Cristina Garcia,9.78E+12,1400077184,$13.95 ,Paperback,Knopf Doubleday Publishing Group,6-Oct,,"Peoples & Cultures - American Anthologies, Hispanic & Latin American Literature Anthologies",,304
143,The Best American Short Plays 2007-2008,Barbara Parisi,9.78E+12,155783749X,$18.99 ,Paperback,Applause Theatre Book Publishers,9-Aug,,"Performing Arts, Theater",,
144,Postmodern American Fiction: A Norton Anthology,Paula Geyh,9.78E+12,039331698X,$18.76 ,Paperback,"Norton, W. W. & Company, Inc.",Sep-97,1 ED,"Postmodernism - Literary Movements, 20th Century American Literature - Post WWII - Literary Criticism, American Literature Anthologies",,704
145,Bronx Accent: A Literary and Pictorial History of the Borough,Lloyd Ultan,9.78E+12,813538629,$24.95 ,Paperback,Rivergate Books,6-Mar,Reprint,"United States History - Northeastern & Middle Atlantic Region, American Literature Anthologies, U.S. Travel - Major Cities, General & Miscellaneous Literature Anthologies, Travel - General & Miscellaneous, U.S. Travel - States, Photography - Travel, Trave",,330
146,Native American Songs and Poems: An Anthology,Brian Swann,9.78E+12,486294501,$2.99 ,Paperback,Dover Publications,Sep-96,Special Value,"Poetry Anthologies, Native North American Peoples - General & Miscellaneous, American Poetry, American Music - General & Miscellaneous, American Literature Anthologies, Native North American Peoples - Authors & Literature, Native North Americans - Music",,64
147,The Best American Sports Writing 2008,William Nack,9.78E+12,618751181,$13.58 ,Paperback,Houghton Mifflin Harcourt,8-Oct,,"Sports Essays, American Literature Anthologies",,448
148,The Lost Algonquin Round Table,Nat Benchley,9.78E+12,1440151512,$18.95 ,Paperback,"iUniverse, Incorporated",9-Jul,,"American & Canadian Literature, American Literature Anthologies, General & Miscellaneous Literature Anthologies, US & Canadian Literary Biography",,300
149,Thom Pain (based on nothing),Will Eno,9.78E+12,822220768,$10.18 ,Paperback,"Dramatists Play Service, Incorporated",5-Nov,,"Scenes and Monologues, Drama Anthologies, American Drama, American Literature Anthologies, Theater - General & Miscellaneous",,32
150,Death Blossoms: Reflections from a Prisoner of Conscience,Mumia Abu-Jamal,9.78E+12,896086992,$12.00 ,Paperback,South End Press,3-Jul,,"Biographies &amp; Autobiographies, General",,
151,"B. O. O. B. S.: A Bunch of Outrageous Breast-Cancer Survivors Tell Their Stories of Courage, Hope and Healing",Ann Kempner Fisher,9.78E+12,1581825234,$13.50 ,Paperback,Turner Publishing Company,6-Jan,,"Women's Diseases & Disorders, Cancer, Cancer Patients - Biography, Women's Biography - General & Miscellaneous, American Literature Anthologies",,336
152,Becoming Americans: Four Centuries of Immigrant Writing,Ilan Stavans,9.78E+12,1598530518,$40.00 ,Hardcover,Library of America,9-Oct,,"Immigrants, Immigrants - Writings & Literature, Literature Anthologies - General & Miscellaneous, American Literature Anthologies",,850
153,Dream Me Home Safely: Writers on Growing Up in America,Susan Richards Shreve,9.78E+12,618379029,$14.47 ,Paperback,Houghton Mifflin Harcourt,3-Oct,,"U.S. Authors - 20th Century - Literary Biography, 20th Century American History - Social Aspects - General & Miscellaneous, Childhood Memoirs & Biography, Self-Improvement, American Literature Anthologies",,238
154,The Best American Short Stories 2005,Michael Chabon,9.78E+12,618427058,$17.98 ,Paperback,Houghton Mifflin Harcourt,5-Oct,,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",,432
155,The Stuffed Owl: An Anthology of Bad Verse,D.B. Wyndham Lewis,9.78E+12,1590170385,$18.19 ,Paperback,New York Review of Books,3-Mar,,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",,264
156,"The American Tradition in Literature, Volume 2 (book alone)",George Perkins,9.78E+12,77239059,$104.07 ,Paperback,"McGraw-Hill Companies, The",8-Oct,12nd Edition,American Literature Anthologies,,2160
157,American Working-Class Literature: An Anthology,Nicholas Coles,9.78E+12,195144562,$57.22 ,Paperback,"Oxford University Press, USA",6-Aug,1st Edition,"Literature Anthologies - General & Miscellaneous, American Literature Anthologies",,960
158,The Butterfly's Way: Voices from the Haitian Dyaspora in the United States,Edwidge Danticat,9.78E+12,1569472181,$11.43 ,Paperback,"Soho Press, Incorporated",3-Jul,,American Literature Anthologies,,280
159,Bedford Anthology of American Literature: Volume Two: 1865 to Present,Susan Belasco,9.78E+12,312412088,$59.78 ,Paperback,Bedford/St. Martin's,8-Feb,1st Edition,American Literature Anthologies,,1632
160,"Titanica: The Disaster of the Century in Poetry, Song and Prose",Steven Biel,9.78E+12,393318737,$11.00 ,Paperback,"Norton, W. W. & Company, Inc.",Sep-98,1 ED,"Literature Anthologies - General & Miscellaneous, American Literature Anthologies",,128
161,The Unswept Path: Contemporary American Haiku,John Brandi,9.78E+12,1893996387,$15.00 ,Paperback,White Pine Press,5-Sep,Volume 8,"Poetry, Anthologies (multiple authors)",,
162,"The Vietnam War in American Stories, Songs, and Poems",H. Bruce Franklin,9.78E+12,312115520,$18.75 ,Paperback,Bedford/St. Martin's,Aug-95,1st Edition,American Literature Anthologies,,343
163,The Best American Essays 2008,Adam Gopnik,9.78E+12,618983228,$11.92 ,Paperback,Houghton Mifflin Harcourt,8-Oct,1st Edition,"American Essays, American Literature Anthologies",,320
164,The Best American Poetry 2008,Charles Wright,9.78E+12,743299752,$16.00 ,Paperback,Simon & Schuster Adult Publishing Group,8-Sep,,"Poetry Anthologies, American Poetry, American Literature Anthologies",,224
165,Poems from the Women's Movement,Honor Moore,9.78E+12,1598530429,$18.88 ,Hardcover,Library of America,9-Apr,New Edition,"Poetry, American Literature Anthologies, Anthologies",,200
166,Listening for God: Contemporary Literature And The Life Of Faith: Volume 2,Paula J. Carlson,9.78E+12,806628448,$13.43 ,Paperback,"Augsburg Fortress, Publishers",Jan-98,New Edition,"Faith, Literature Anthologies - General & Miscellaneous, Religious Inspiration - General, General & Miscellaneous Christian Life, American Literature Anthologies",,160
167,The Norton Anthology of African American Literature,Henry Louis Gates Jr.,9.78E+12,393040011,$59.95 ,Hardcover,"Norton, W. W. & Company, Inc.",Nov-96,Older Edition,"Literary Collections, Latin American",,
168,The Best American Sports Writing 2008,William Nack,9.78E+12,1615580190,,Paperback,Houghton Mifflin Harcourt,8-Oct,Bargain,,,
169,New Orleans Stories: Great Writers on the City,John Miller,9.78E+12,811844943,$1.99 ,Paperback,Chronicle Books LLC,4-Jun,,"Urban Sociology, American Literature Anthologies",,224
170,Sporting Lives: Metaphor and Myth in American Sports,James W. Pipkin,9.78E+12,826217796,$28.75 ,Hardcover,University of Missouri Press,8-Feb,index,"Regional Sports, Sport Figures - General & Miscellaneous - Biography, Athletics - General & Miscellaneous, American Literature Anthologies",,184
171,"American Literature, Volume II (Penguin Academics Series)",William E. Cain,9.78E+12,321116240,$42.93 ,Paperback,Longman,3-Dec,2nd Edition,American Literature Anthologies,,1584
172,After Frost: Anthol Poetry From N E,Henry Lyman,9.78E+12,1558490418,$22.03 ,Paperback,University of Massachusetts Press,Sep-96,1st Edition,"Poetry Anthologies, American Poetry, American Literature Anthologies",1260L,240
173,"To The Shore Once More, Volume II: A Journey Down The Jersey Shore; Prose, Poetry, And Works Of Art",Frank Finale,9.78E+12,963290622,$48.00 ,Hardcover,Jersey Shore Publications,1-May,,Literary Collections,,
174,Winter Song: Christmas Readings,Madeleine L'Engle,9.78E+12,1573833320,$1.99 ,Paperback,Regent College Publishing,4-Oct,,"General & Miscellaneous Religion, American Literature Anthologies, General & Miscellaneous Literature Anthologies",,208
175,Rag and Bone Shop of the Heart: A Poetry Anthology,Robert Bly,9.78E+12,60924209,$13.82 ,Paperback,HarperCollins Publishers,Aug-93,Reprint,"Poetry Anthologies, American Poetry, American Literature Anthologies",,560
176,Oxford Book of American Poetry,David Lehman,9.78E+12,019516251X,$23.20 ,Hardcover,"Oxford University Press, USA",6-Mar,1st Edition,"Poetry Anthologies, American Poetry, American Literature Anthologies",,1200
177,The Portable Jack Kerouac,Jack Kerouac,9.78E+12,014310506X,$16.15 ,Paperback,Penguin Group (USA),7-Aug,Reissue,"Fiction, American Literature Anthologies",,656
178,Boricuas: Influential Puerto Rican Writings--- An Anthology,Roberto Santiago,9.78E+12,345395026,$13.99 ,Paperback,Random House Publishing Group,Sep-95,1,"American Literature Anthologies, World Literature, Fiction Subjects",,400
179,Coming of Age in the 21st Century,Mary Frosch,9.78E+12,1595580557,$14.59 ,Paperback,"New Press, The",8-Oct,,"Peoples & Cultures - American Anthologies, Ethnic & Minority Studies - United States",,319
180,Empire City: New York Through the Centuries,Kenneth T. Jackson,9.78E+12,231109091,$18.20 ,Paperback,Columbia University Press,5-Aug,,"Places - Literary Anthologies, Regional American Anthologies",,1008
181,Erotique Noire: Black Erotica,Miriam Decosta-Willis,9.78E+12,385423098,$15.99 ,Paperback,Knopf Doubleday Publishing Group,Aug-92,,"Short Story Anthologies, African Americans - Fiction & Literature, African Americans - General & Miscellaneous, Peoples & Cultures - American Anthologies, Erotica",,456
182,Short Story Masterpieces,Robert Penn Warren,9.78E+12,440378648,$7.99 ,Mass Market Paperback,Random House Publishing Group,Mar-54,Reissue,"American Literature Anthologies, Anthologies, Fiction Subjects",,528
183,The Best American Short Plays 2006-2007,Barbara Parisi,9.78E+12,1557837481,$17.74 ,Paperback,Applause Theatre Book Publishers,10-May,,"Drama Anthologies, American Drama, American Literature Anthologies",,380
184,Black on White: Black Writers on What It Means to Be White,David R. Roediger,9.78E+12,805211144,$9.99 ,Paperback,Knopf Doubleday Publishing Group,Jan-99,1 PBK ED,"African Americans - General & Miscellaneous, Reference - General & Miscellaneous",,368
185,In a Narrow Grave: Essays on Texas,Larry McMurtry,9.78E+12,684868695,$10.92 ,Paperback,Simon & Schuster Adult Publishing Group,1-Jul,2ND TOUCHS,"United States History - Southern Region, Essays, American Literature Anthologies, United States History - General & Miscellaneous, Civilization - History",,208
186,Queer 13: Lesbian and Gay Writers Recall Seventh Grade,Clifford Chase,9.78E+12,688171613,$15.95 ,Paperback,HarperCollins Publishers,Sep-99,,"Biographies &amp; Autobiographies, General",,
187,Hokum: An Anthology of African-American Humor,Paul Beatty,9.78E+12,1596911484,$16.95 ,Paperback,Bloomsbury USA,6-Jan,,"Humor, General",,
188,Voices in Our Blood: America's Best on the Civil Rights Movement,Jon Meacham,9.78E+12,037575881X,$14.98 ,Paperback,Random House Publishing Group,3-Jan,Reprint,"Peoples & Cultures - American Anthologies, American Literature Anthologies",,576
189,The Complete Works of Kate Chopin,Kate Chopin,9.78E+12,807131512,$40.05 ,Paperback,Louisiana State University Press,6-May,New Edition,"American Fiction, Regional American Anthologies",,1032
190,Literature and the Environment: A Reader on Nature and Culture,Lorraine Anderson,9.78E+12,032101149X,$68.80 ,Paperback,Longman,Aug-98,1st Edition,Literary Collections,,
191,"The Heath Anthology of American Literature, Concise Edition",Paul Lauter,9.78E+12,618256636,$123.58 ,Paperback,Cengage Learning,3-May,1st Edition,American Literature Anthologies,,2695
192,Early American Writing,Various,9.78E+12,140390871,$18.19 ,Paperback,Penguin Group (USA),Feb-94,Reissue,"Literary Criticism, American",,672
193,Soulscript: A Collection of Classic African American Poetry,June Jordan,9.78E+12,767918460,$15.00 ,Paperback,Crown Publishing Group,4-Nov,Reprint,"Poetry Anthologies, American Poetry, American Literature Anthologies",,208
194,"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 1",Sandra M. Gilbert,9.78E+12,393930130,$59.65 ,Hardcover,"Norton, W. W. & Company, Inc.",7-Feb,3rd Edition,"Literary Criticism, Women Authors",,
195,Out of Her Mind: Women Writing on Madness,Rebecca Shannonhouse,9.78E+12,375755020,$14.22 ,Paperback,Random House Publishing Group,3-Feb,Expanded,"American Literature Anthologies, Women's Biography, Psychological Disorders, Anthologies, Women's Biography, Fiction Subjects, Patient Narratives",,224
196,"The Wadsworth Themes American Literature Series, 1945-Present, Theme 18: Class Conflicts and the American Dream",Jay Parini,9.78E+12,1428262504,$12.90 ,Paperback,Cengage Learning,8-Jul,1st Edition,"20th Century American Literature - General & Miscellaneous - Literary Criticism, American Literature Anthologies",,69
197,Concise Anthology of American Literature,George McMichael,9.78E+12,131937928,$89.40 ,Paperback,Prentice Hall,5-Dec,6th Edition,"Literary Criticism, American",,
198,Written by Herself: Autobiographies of American Women,Jill Ker Conway,9.78E+12,679736336,$15.99 ,Paperback,Knopf Doubleday Publishing Group,Nov-92,1st ed,"Literary Figures - Women's Biography, Historical Biography - General & Miscellaneous, General & Miscellaneous Women's Literary Biography, Women Authors - General & Miscellaneous - Literary Criticism, American Literature Anthologies",,688
199,Asian American Studies Now: A Critical Reader,Jean Yu-wen Shen Wu,9.78E+12,813545757,$35.40 ,Paperback,Rutgers University Press,10-Apr,New Edition,"Asian American Studies - General & Miscellaneous, Peoples & Cultures - American Anthologies, United States History - Ethnic Histories",,672
200,Growing Up in the South: An Anthology of Modern Southern Literature,Suzanne Jones,9.78E+12,451528735,$8.95 ,Mass Market Paperback,Penguin Group (USA),3-Jan,Reprint,"American Literature Anthologies, Fiction Subjects",,544
201,American Protest Literature,Zoe Trodd,9.78E+12,674027639,$16.45 ,Paperback,Harvard University Press,8-Apr,1st Edition,"Political Protest & Dissent, Political Activism & Social Action, Radical Thought, American Literature Anthologies",,576
202,The Vietnam Reader: The Definitive Collection of American Fiction and Nonfiction on the War,Stewart O'Nan,9.78E+12,385491182,$15.64 ,Paperback,Knopf Doubleday Publishing Group,Oct-98,,"Fiction, Film Genres, American Literature Anthologies, Southeast Asian History, War Narratives, General & Miscellaneous Literature Anthologies, United States History - 20th Century - Wars & Conflict, United States History - 20th Century - 1945 to 2000, Vi",,736
203,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Gloria Bird,9.78E+12,393318281,$18.95 ,Paperback,"Norton, W. W. & Company, Inc.",Sep-98,,"Fiction, Anthologies (multiple authors)",,
204,The Norton Anthology of American Literature: Volume E: 1945 to the Present,Jerome Klinkowitz,9.78E+12,393927431,$46.66 ,Paperback,"Norton, W. W. & Company, Inc.",7-Apr,7th Edition,American Literature Anthologies,,1184
205,"Living Literature: An Introduction to Fiction, Poetry, Drama",John Brereton,9.78E+12,321088999,$4.09 ,Paperback,Longman,7-Jan,1st Edition,"English Language Readers, Academic & Research Paper Writing, Student Life - College Guides, English & Irish Literature Anthologies, American Literature Anthologies, Rhetoric - English Language",,2144
206,"Women of the Beat Generation: The Writers, Artists and Muses at the Heart of a Revolution",Brenda Knight,9.78E+12,1573241385,$16.63 ,Paperback,Red Wheel/Weiser,Oct-98,2,"American & Canadian Literature, American Literature Anthologies, Women's Biography, Anthologies, US & Canadian Literary Biography, Artists, Architects & Photographers - Biography, Literary Figures - Women's Biography, Women's Biography, General & Miscella",,366
207,La Llorona on the Longfellow Bridge: Poetry Y Otras Movidas,Alicia Gaspar De Alba,9.78E+12,1558853995,$7.54 ,Paperback,Arte Publico Press,3-Jan,,Peoples & Cultures - American Anthologies,,128
208,"To the Shore Once More: A Portrait Of The Jersey Shore; Prose, Poetry, and Works of Art",Frank Finale,9.78E+12,963290614,$44.00 ,Hardcover,Jersey Shore Publications,Jul-99,,"Literary Criticism, General",,
209,Witnessing Lynching: American Writers Respond,Anne P. Rice,9.78E+12,813533309,$22.77 ,Paperback,Rutgers University Press,3-Oct,New Edition,"American Literature Anthologies, Criminology, Discrimination & Prejudice",,360
210,Longman Anthology of Women's Literature,Mary K. DeShazer,9.78E+12,032101006X,$100.00 ,Paperback,Longman,Dec-00,1st Edition,"Fiction, American Literature Anthologies, Anthologies",,1520
211,Elements of Evolutionary Genetics,Brian Charlesworth,9.78E+12,981519423,$73.92 ,Hardcover,Roberts & Company Publishers,10-Jan,,"Organic Chemistry, Regional American Anthologies, Microscopes & Microscopy - General & Miscellaneous, Folklore - General & Miscellaneous, Fiction - General & Miscellaneous, Genetics - Variations and Mutations, American Literature Anthologies, Cognitive Ps",,768
212,The Best American Short Stories 2001,Barbara Kingsolver,9.78E+12,395926882,$20.35 ,Paperback,Houghton Mifflin Harcourt,1-Oct,~,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",,402
213,The Classic Hundred Poems: All-Time Favorites,William Harmon,9.78E+12,231112599,$16.40 ,Paperback,Columbia University Press,Mar-98,Second Edition,"Poetry, American Literature Anthologies, Anthologies, English, Irish, & Scottish Poetry",,288
214,The Best American Nonrequired Reading 2007,Dave Eggers,9.78E+12,618902813,$30.95 ,Paperback,Houghton Mifflin Harcourt,7-Oct,,American Essays,,386
215,The Best New Playwrights 2009,Lawrence Harbison,9.78E+12,1575257629,$19.95 ,Paperback,"Smith & Kraus, Inc.",9-Dec,,"Drama Anthologies, American Drama, American Literature Anthologies",,356
216,The Vintage Book of African American Poetry,Michael S. Harper,9.78E+12,375703004,$16.32 ,Paperback,Knopf Doubleday Publishing Group,Feb-00,1,"Poetry Anthologies, American Poetry, American Literature Anthologies",,448
217,Crossing the Danger Water: Three Hundred Years of African-American Writing,Deirdre Mullane,9.78E+12,385422431,$19.74 ,Paperback,Knopf Doubleday Publishing Group,Sep-93,1,"Peoples & Cultures - American Anthologies, General & Miscellaneous African American History",,800
218,2007: The Best Ten-Minute Plays for Two Actors,Lawrence Harbison,9.78E+12,1575255898,$18.76 ,Paperback,"Smith & Kraus, Inc.",8-Apr,New Edition,"Drama Anthologies, American Drama, American Literature Anthologies",,256
219,The Hudson River Valley Reader,Edward C. Goodman,9.78E+12,1604330376,$19.95 ,Hardcover,Cider Mill Press,9-Mar,,"History, United States",,
220,Three Centuries of American Poetry,Allen Mandelbaum,9.78E+12,553375180,,Paperback,Random House Publishing Group,Mar-99,,"Poetry, Anthologies (multiple authors)",,
221,Down Time: Great Writers on Diving,Ed Kittrell,9.78E+12,965834441,$1.99 ,Paperback,Look Away Books,1-Apr,2,"Nautical & Maritime Fiction, Sports Essays, Submarines - Military History, Submarines, Oceanography, Scuba & Snorkeling, Shipwrecks & Underwater Exploration, Natural Terrain - Oceans & Seas, Literary Styles & Movements - Fiction, American Literature Antho",,288
222,Blues Poems (Everyman's Library Pocket Poets),Kevin Young,9.78E+12,375414584,$11.82 ,Hardcover,Knopf Doubleday Publishing Group,3-Sep,,"Poetry Anthologies, American Poetry, Music Lyrics & Texts, African American Music, American Literature Anthologies",,256
223,Age Ain't Nothing But a Number: Black Women Explore Midlife,Carleen Brice,9.78E+12,807028231,$18.95 ,Paperback,Beacon,3-May,,"Middle Age, Women Authors - Literature Anthologies, Peoples & Cultures - American Anthologies, African Americans - General & Miscellaneous, Aging - General & Miscellaneous, Literature Anthologies - General & Miscellaneous, American Literature Anthologies",,256
224,Literary Nevada: Writings from the Silver State,Cheryll Glotfelty,9.78E+12,874177596,$23.20 ,Paperback,University of Nevada Press,8-Aug,New Edition,American Literature Anthologies,,896
225,Nickel and Dimed,Joan Holden,9.78E+12,822220423,$7.20 ,Paperback,"Dramatists Play Service, Incorporated",5-Nov,,"Drama Anthologies, American Drama, American Literature Anthologies",,67
226,The Haves and Have Nots: 30 Stories about Money and Class in America,Barbara H. Solomon,9.78E+12,451527445,$7.95 ,Mass Market Paperback,Penguin Group (USA),Oct-99,Reissue,"Short Story Anthologies, Conflicts - Fiction, Literary Styles & Movements - Fiction, American Literature Anthologies",,528
227,The Best American Short Plays 2003-2004,Glenn Young,9.78E+12,1557836965,$13.25 ,Paperback,Applause Theatre Book Publishers,6-Sep,1st Edition,"Drama, General & Miscellaneous Drama, American Literature Anthologies, Anthologies",,312
228,Latino Boom: An Anthology of U. S. Latino Literature,John Christie,9.78E+12,321093836,$75.00 ,Paperback,Longman,5-Jul,1st Edition,Peoples & Cultures - American Anthologies,,592
229,Up All Night: Adventures in Lesbian Sex,Stacy Bias,9.78E+12,1555837476,$1.99 ,Paperback,Alyson Books,4-Jan,,"Short Story Anthologies, Peoples & Cultures - American Anthologies, Gay & Lesbian Literature Anthologies, Gay & Lesbian Fiction, Erotica",,264
230,Anthology of Modern American Poetry,Cary Nelson,9.78E+12,195122712,$64.00 ,Paperback,"Oxford University Press, USA",Jan-00,1st Edition,"Poetry Anthologies, American Poetry, American Literature Anthologies",,1296
231,"A Patriot'S Handbook: Songs, Poems, Stories, And Speeches Celebrating The Land We Love",Caroline Kennedy,9.78E+12,786869186,$13.25 ,Hardcover,Hyperion,3-May,1ST,"Poetry Anthologies, American Poetry, United States History - Reference, United States History - General & Miscellaneous, American Music - General & Miscellaneous, American Literature Anthologies, American Peoples & Cultures - Quotations, Speeches",,688
232,Uncle Remus: His Songs and His Sayings,Joel Chandler Harris,9.78E+12,877970602,,Hardcover,Cherokee Publishing Company,Sep-95,REPRINT,"Children's Fiction, Classics",,
233,The Heath Anthology of American Literature: Volume B: Early Nineteenth Century (1800-1865),Paul Lauter,9.78E+12,618532986,$57.95 ,Paperback,Cengage Learning,4-Dec,5th Edition,American Literature Anthologies,,1760
234,Immigrant Women,Maxine Schwartz Seller,9.78E+12,791419045,$31.95 ,Paperback,State University of New York Press,Jul-94,2nd Edition,Literary Collections,,
235,The American Aeneas: Classical Origins of the American Self,John C. Shields,9.78E+12,1572331321,$33.00 ,Hardcover,University of Tennessee Press,1-Oct,1 ED,"Classicism, United States Studies - General & Miscellaneous, United States - Civilization, Literary Criticism - U.S. Fiction & Prose Literature - General & Miscellaneous, Greco-Roman Folklore & Mythology, Ancient Roman Poetry - Literary Criticism, Literar",,480
236,"Love, Castro Street: Reflections of San Francisco",Katherine V. Forrest,9.78E+12,1555839975,$1.99 ,Paperback,Alyson Books,7-May,,"American Literature Anthologies, Anthologies, Gay & Lesbian Studies",,288
237,"The Women's Project and Productions: The Best One-Act Plays, 1975-1999",Julia Miles,9.78E+12,1575252716,$19.15 ,Paperback,"Smith & Kraus, Inc.",2-Jun,,"Drama Anthologies, American Drama, American Literature Anthologies",,309
238,Feeling Italian: The Art of Ethnicity in America,Thomas Ferraro,9.78E+12,814727476,$22.08 ,Paperback,New York University Press,5-May,New Edition,"United States - Ethnic & Race Relations, United States - Civilization, Italian American Studies, Ethnic & Minority Studies - United States, American Literature Anthologies",,408
239,"Pamphlets of Protest: An Anthology of Early African American Protest Literature, 1790-1860",Richard G. Newman,9.78E+12,415924448,$39.95 ,Paperback,"Taylor & Francis, Inc.",Oct-00,,"African Americans - General & Miscellaneous, United States History - African American History, United States History - 19th Century - Civil War, African American History, Social Sciences - General & Miscellaneous, Political Activism & Participation, Ameri",,320
240,A Whole Other Ball Game: Women's Literature on Women's Sport,Joli Sandoz,9.78E+12,374525218,$20.91 ,Paperback,"Farrar, Straus and Giroux",Sep-97,1 ED,"Women Authors - Literature Anthologies, Sports - General, Athletics - General & Miscellaneous, Sports & Adventure - Literary Anthologies, American Literature Anthologies",,288
241,A Companion to African American Literature,Gene A. Jarrett,9.78E+12,1405188626,$149.95 ,Hardcover,"Wiley, John & Sons, Incorporated",10-May,,"Literary Criticism, American",,
242,Conversations with Mexican American Writers: Languages and Literatures in the Borderlands,Elisabeth Mermann-Jozwiak,9.78E+12,1604732148,,Hardcover,University Press of Mississippi,9-May,,"Literary Criticism, American",,
243,The Palm of My Heart: Poetry by African American Children,Davida Adedjouma,9.78E+12,1880000768,$8.32 ,Hardcover,"Lee & Low Books, Inc.",3-May,,"Poetry, Poetry - Assorted Topics, American Literature Anthologies, Anthologies, Children - Fiction & Literature, Children - Poetry",,32
244,"Women and Children of the Mills: An Annotated Guide to Nineteenth-Century American Textile Factory Literature, Vol. 28",Judith Ranta,9.78E+12,313308608,$110.95 ,Hardcover,"Greenwood Publishing Group, Incorporated",Jul-99,,"U.S. Literature - Reference, Literary Reference - General & Miscellaneous, Businesswomen & Professional Women - Biography, United States Studies - General & Miscellaneous, Society & Culture in Literature, Labor Studies - General & Miscellaneous, American",,348
245,Rising Voices,Arlene Hirschfelder,9.78E+12,804111677,$6.99 ,Mass Market Paperback,Random House Publishing Group,Jul-93,REPRINT,"American Literature Anthologies, General & Miscellaneous Native American Studies, Native North American People",,131
